artist,artist_bandcamp,location_bandcamp,origin
David Bazan,David Bazan,"Seattle, Washington","Phoenix, Arizona, U.S."
David Byrne,David Byrne,"New York, New York","Arbutus, Maryland, U.S."
David Cook,David Cook,New York,"Blue Springs, Missouri, U.S."
David Hasselhoff,David Hasselhoff,"Los Angeles, California","Baltimore, Maryland, U.S."
David Sylvian,David Sylvian,,"Beckenham, England"
David Thomas Broughton,David Thomas Broughton,"Tokyo, Japan","Otley, West Yorkshire, England"
Dawes,Dawes,"Los Angeles, California","Los Angeles, California, U.S."
Dax Riggs,Dax Riggs,"Lafayette, Louisiana","Evansville, Indiana, U.S."
Days Away,Days Away,,"Langhorne, Pennsylvania, U.S."
Dazzling Killmen,Dazzling Killmen,"St. Louis, Missouri","St. Louis, MO, United States"
Dead Meadow,Dead Meadow,"Los Angeles, California","Washington, D.C., United States"
Dead To Fall,Dead To Fall,"Chicago, Illinois","Gurnee, Illinois, U.S."
Deadguy,Deadguy,"New Brunswick, New Jersey","New Brunswick, New Jersey, U.S."
Death,Death,"Orlando, Florida","Altamonte Springs, FL, United States"
Death By Stereo,Death By Stereo,"Fullerton, California","Orange County, California, U.S."
Death Cab for Cutie,Death Cab for Cutie,"Seattle, Washington","Bellingham, Washington, U.S."
Deathwish,Deathwish,"Providence, Rhode Island","Brighton, East Sussex, United Kingdom"
Deceased,Deceased,"Arlington, Virginia","Arlington, Virginia, U.S."
Deconstruction,Deconstruction,"Kaliningrad, Russia","Los Angeles, California, U.S."
Deer Tick,Deer Tick,"Providence, Rhode Island","Providence, Rhode Island, United States"
Deerhoof,Deerhoof,"San Francisco, California","San Francisco, California, U.S."
Deerhunter,Deerhunter,"Atlanta, Georgia","Atlanta, Georgia, United States"
Defiance,Defiance,"Boston, Massachusetts","Oakland, CA, United States"
Dehumanized,Dehumanized,"New York, New York","Queens, NY, USA"
Deicide,Deicide,"Tampa, Florida","Tampa, Florida, U.S."
Dekapitator,Dekapitator,"San Francisco, California","San Jose, CA"
Delta Spirit,Delta Spirit,"Brooklyn, New York","San Diego, California, U.S."
Demiricous,Demiricous,"Indianapolis, Indiana","Indianapolis, Indiana"
Demon,Demon,Spain,"Leek, Staffordshire, England"
Demoncy,Demoncy,"Los Angeles, California","Sylva, North Carolina, U.S."
Depswa,Depswa,"Los Angeles, California","Modesto, California, U.S."
Derek Sherinian,Derek Sherinian,,"Laguna Beach, California, U.S."
Descendents,Descendents,"Manhattan Beach, California","Manhattan Beach, California, U.S."
Devendra Banhart,Devendra Banhart,"Los Angeles, California","Houston, Texas, U.S."
DevilDriver,DevilDriver,"Los Angeles, California","Santa Barbara, California, U.S."
Devourment,Devourment,"Dallas, Texas","Dallas, Texas, U.S."
Dexys Midnight Runners,Dexys Midnight Runners,"Birmingham, UK","Birmingham, England"
Diagonal,Diagonal,UK,"Brighton, East Sussex, United Kingdom"
Diamond Head,Diamond Head,UK,"Stourbridge, England"
Die Kreuzen,Die Kreuzen,"Milwaukee, Wisconsin","Rockford, Illinois, U.S."
Dillinger Four,Dillinger Four,"Minneapolis, Minnesota","Minneapolis, Minnesota, U.S."
Dirty Projectors,Dirty Projectors,"Los Angeles, California","Brooklyn, New York, U.S."
Disappearer,Disappearer,,"Boston, MA, United States"
Disco Inferno,Disco Inferno,"Alicante, Spain","Essex, England"
Disembodied,Disembodied,"Minneapolis, Minnesota","Minneapolis, Minnesota, U.S."
Disrupt,Disrupt,"Lynn, Massachusetts","Lynn, Massachusetts"
Distorted Pony,Distorted Pony,"Los Angeles, California","Los Angeles, California, United States"
Divine Heresy,Divine Heresy,"Los Angeles, California","Los Angeles, California, U.S."
Divine Styler,Divine Styler,"Los Angeles, California","Brooklyn, New York, U.S."
Dntel,Dntel,"Los Angeles, California","Santa Barbara, CA, United States"
Dog Faced Hermans,Dog Faced Hermans,"Amsterdam, Netherlands","Edinburgh, Scotland"
Dog Fashion Disco,Dog Fashion Disco,"Baltimore, Maryland","Rockville, Maryland, U.S."
Dommin,Dommin,"Los Angeles, California","Los Angeles, California, U.S."
Don Caballero,Don Caballero,"Pittsburgh, Pennsylvania","Pittsburgh, Pennsylvania"
Donald Fagen,Donald Fagen,"Passaic, New Jersey","Passaic, New Jersey, U.S."
Doomriders,Doomriders,"Boston, Massachusetts","Boston, Massachusetts, U.S."
Dope,Dope,"New York, New York","New York City, U.S."
Down By Law,Down By Law,"Port Elizabeth, South Africa","Los Angeles, California, U.S."
Down I Go,Down I Go,"London, UK","London, England"
Dragged Into Sunlight,Dragged Into Sunlight,UK,"Liverpool, England"
DragonForce,DragonForce,"London, UK","London, England"
Drawn and Quartered,Drawn and Quartered,"San Diego, California","Seattle, WA, United States"
Driftless Pony Club,Driftless Pony Club,"Chicago, Illinois","Chicago, Illinois, United States"
Drive Like Jehu,Drive Like Jehu,"San Diego, California","San Diego, California, U.S."
Drop Nineteens,Drop Nineteens,"Boston, Massachusetts","Boston, Massachusetts, U.S."
Drowningman,Drowningman,"Burlington, Vermont","Burlington, Vermont, United States"
Dub War,Dub War,"Newport, UK","Newport, Wales"
Ducktails,Ducktails,New Jersey,"New Jersey, United States"
Dum Dum Girls,Dum Dum Girls,"Los Angeles, California","Los Angeles, California"
Dust,Dust,,"New York City, U.S."
Dwight Yoakam,Dwight Yoakam,"Columbus, Ohio","Pikeville, Kentucky, U.S."
Dying Fetus,Dying Fetus,"Baltimore, Maryland","Upper Marlboro, Maryland, U.S."
Dysrhythmia,Dysrhythmia,"Queens, New York","Philadelphia, Pennsylvania, United States"
Dystopia,Dystopia,"Sydney, Australia","Orange County, California, U.S."
Eagle Twin,Eagle Twin,"Salt Lake City, Utah","Salt Lake City, Utah"
Eagles Of Death Metal,Eagles Of Death Metal,"Palm Desert, California","Palm Desert, California, U.S."
Early Day Miners,Early Day Miners,"New Orleans, Louisiana","Bloomington, Indiana, United States"
Early Graves,Early Graves,"San Francisco, California","San Francisco, California, U.S."
Earshot,Earshot,"Los Angeles, California","Los Angeles, California, U.S."
Earth,Earth,"Seattle, Washington","Olympia, WA, United States"
Earth Crisis,Earth Crisis,"Syracuse, New York","Syracuse, New York, U.S."
Earthless,Earthless,California,"San Diego, California, U.S."
Echolyn,Echolyn,"Philadelphia, Pennsylvania",Pennsylvania
Ed Gein,Ed Gein,"Syracuse, New York","Syracuse, New York, U.S."
Edgewater,Edgewater,Illinois,"Dallas, Texas, United States"
Editors,Editors,"Birmingham, UK","Moseley, Birmingham, England"
Egypt,Egypt,"San Francisco, California","Shepherds Bush, London, England"
Eighteen Visions,Eighteen Visions,California,"Orange County, California, U.S."
Eisley,Eisley,"Tyler, Texas","Tyler, Texas, U.S."
Electric Six,Electric Six,"Detroit, Michigan","Detroit, Michigan, U.S."
Elliott Smith,Elliott Smith,"Portland, Oregon","Omaha, Nebraska, U.S."
Elvis Costello,Elvis Costello,"London, UK","London, England"
Elysia,Elysia,"Sacramento, California","Shingle Springs, California, U.S."
Elysian Fields,Elysian Fields,New York,"New York City, United States"
Emarosa,Emarosa,"Lexington, Kentucky","Lexington, Kentucky, U.S."
Emery,Emery,"Manchester, UK","Rock Hill, South Carolina, U.S."
Emmylou Harris,Emmylou Harris,"Nashville, Tennessee","Washington, D.C."
Enabler,Enabler,"San Francisco, California","Milwaukee, Wisconsin"
Enfold Darkness,Enfold Darkness,"Nashville, Tennessee","Nashville, TN, United States"
Engine Down,Engine Down,"Richmond, Virginia","Richmond, Virginia, U.S."
Engineer,Engineer,"Syracuse, New York","Syracuse, New York, U.S."
Enon,Enon,"Brooklyn, New York",New York
Enrique Iglesias,Enrique Iglesias,"Madrid, Spain","Miami-Dade County, Florida, U.S."
Epidemic,Epidemic,"Miami, Florida","Palo Alto, California, United States"
Escape the Fate,Escape the Fate,"Las Vegas, Nevada","Las Vegas, Nevada, U.S."
Esoteric,Esoteric,"Birmingham, UK","Birmingham, England"
Espers,Espers,"Philadelphia, Pennsylvania","Philadelphia, United States"
Evanescence,Evanescence,"Little Rock, Arkansas","Little Rock, Arkansas, U.S."
Evergreen Terrace,Evergreen Terrace,"Jacksonville, Florida","Jacksonville, Florida"
Everlast,Everlast,"Norfolk, Virginia","Los Angeles, California, U.S.[1]"
Every Time I Die,Every Time I Die,"Buffalo, New York","Buffalo, New York, U.S."
Everyone Everywhere,Everyone Everywhere,Philadelphia,"Philadelphia, Pennsylvania, U.S."
Everything Everything,Everything Everything,UK,"Manchester, United Kingdom"
Evil Army,Evil Army,"Memphis, Tennessee","Memphis, TN"
Evile,Evile,"Huddersfield, UK","Huddersfield, West Yorkshire, England"
Excel,Excel,"Chicago, Illinois","Venice, California, U.S."
Exhumed,Exhumed,"San Jose, California","San Jose, California, U.S."
Exmortus,Exmortus,"Whittier, California","Whittier, California, U.S."
Explosions in the Sky,Explosions in the Sky,"Austin, Texas","Austin, TX, United States"
Extra Life,Extra Life,"Queens, New York","Brooklyn, New York, U.S."
Extreme,Extreme,Australia,"Boston, Massachusetts, U.S."
Extreme Noise Terror,Extreme Noise Terror,"Ipswich, UK","Ipswich, England, United Kingdom"
Faces,Faces,"Fitchburg, Massachusetts","London, England"
Facing New York,Facing New York,"Oakland, California","San Francisco, California, United States"
Failure,Failure,Italy,"Los Angeles, California, U.S."
Fairport Convention,Fairport Convention,"London, UK","London, England"
Faith No More,Faith No More,,"San Francisco, California, U.S."
Fake Problems,Fake Problems,Naples,"Naples, Florida, United States"
Falling Up,Falling Up,"Portland, Oregon","Albany, Oregon, U.S."
Fang Island,Fang Island,"Brooklyn, New York","Providence, Rhode Island"
Faraquet,Faraquet,"Washington, D.C.","Washington, D.C., U.S."
Farflung,Farflung,"Los Angeles, California","Los Angeles, CA, United States"
Fastball,Fastball,"Austin, Texas","Austin, Texas, United States"
Fates Warning,Fates Warning,"Hartford, Connecticut","Hartford, Connecticut, United States"
Father Befouled,Father Befouled,"Atlanta, Georgia","Valdosta, GA, United States"
Fauna,Fauna,"Olympia, Washington","Olympia, WA, United States"
Felt,Felt,"Los Angeles, California","Water Orton, Warwickshire, England"
Fences,Fences,"Seattle, Washington","Seattle, Washington"
Field Music,Field Music,"Sunderland, UK","Sunderland, England, United Kingdom"
Fields,Fields,"Abbotsford, British Columbia","London, England"
Fifth Angel,Fifth Angel,"Seattle, Washington","Bellevue, Washington, U.S."
Fifty Foot Hose,Fifty Foot Hose,"San Francisco, California","San Francisco, California, United States"
Fight,Fight,Arizona,"Phoenix, Arizona, U.S."
Fight Fair,Fight Fair,"San Diego, California","San Diego, California, U.S."
Fine Young Cannibals,Fine Young Cannibals,"Birmingham, UK","Birmingham, England"
Fink,Fink,"New York, New York","St Ives, Cornwall, England"
Firehouse,Firehouse,"Brooklyn, New York","Richmond, Virginia, U.S."
Fish,Fish,"Faro, Portugal","Burlington, Vermont, U.S."
Fishbone,Fishbone,"Los Angeles, California","Los Angeles, California, U.S."
Five Finger Death Punch,Five Finger Death Punch,"Las Vegas, Nevada","Las Vegas, Nevada, U.S."
Five Iron Frenzy,Five Iron Frenzy,"Denver, Colorado","Denver, Colorado, U.S."
Flake Music,Flake Music,"Albuquerque, New Mexico","Albuquerque, New Mexico, U.S."
Flatfoot 56,Flatfoot 56,Chicago,"Chicago, Illinois, US"
Flaw,Flaw,"Lahore, Pakistan","Louisville, Kentucky, U.S."
Fleet Foxes,Fleet Foxes,"Seattle, Washington","Seattle, Washington, U.S."
Flogging Molly,Flogging Molly,"Los Angeles, California","Los Angeles, California, U.S."
Flood of Red,Flood of Red,"Glasgow, UK","Airdrie, North Lanarkshire, United Kingdom"
Flotation Toy Warning,Flotation Toy Warning,UK,"London, England, United Kingdom"
Flying Saucer Attack,Flying Saucer Attack,"Bristol, UK","Bristol, England"
For Against,For Against,"Lincoln, Nebraska","Lincoln, Nebraska, United States"
Forefather,Forefather,"England, UK","Surrey, England"
Fountains of Wayne,Fountains of Wayne,"New York, New York","New York City, U.S."
Four Year Strong,Four Year Strong,"Worcester, Massachusetts","Worcester, Massachusetts, U.S."
Foxy Shazam,Foxy Shazam,"Cincinnati, Ohio","Cincinnati, Ohio, United States"
Fraction,Fraction,"Kitchener, Ontario","Los Angeles, CA, United States"
Frank Black,Frank Black,"Oklahoma City, Oklahoma","Boston, Massachusetts"
Franz Ferdinand,Franz Ferdinand,"Glasgow, UK","Glasgow, Scotland"
Fred Frith,Fred Frith,UK,"Heathfield, Sussex, England"
Free,Free,"Eugene, Oregon","London, England"
Free Energy,Free Energy,"Philadelphia, Pennsylvania","Philadelphia, Pennsylvania, U.S."
Frightened Rabbit,Frightened Rabbit,"Glasgow, UK","Selkirk, Scottish Borders, Scotland"
Frodus,Frodus,"Washington, D.C.","Washington, D.C., US"
From Indian Lakes,From Indian Lakes,"New York, New York","Indian Lakes Estates, California, U.S."
Fudge Tunnel,Fudge Tunnel,"Nottingham, UK","Nottingham, England"
Fuel,Fuel,"New York, New York","Harrisburg, Pennsylvania, U.S."
Fugazi,Fugazi,"Washington, D.C.","Washington, D.C., U.S."
Fukpig,Fukpig,"Birmingham, UK","Birmingham, England"
Funkadelic,Funkadelic,"Detroit, Michigan","Plainfield, New Jersey, U.S."
Future Islands,Future Islands,"Baltimore, Maryland","Greenville, North Carolina, U.S."
GG Allin,GG Allin,"Manchester, New Hampshire","Lancaster, New Hampshire, United States"
GWAR,GWAR,"Richmond, Virginia","Richmond, Virginia, U.S."
Galaxie 500,Galaxie 500,"Boston, Massachusetts","Cambridge, Massachusetts, U.S."
Game Theory,Game Theory,"Quezon City, Philippines","Davis, California, U.S."
Gang of Four,Gang of Four,"London, UK","Leeds, England"
Garden of Shadows,Garden of Shadows,"Gaithersburg, Maryland","Gaithersburg, MD, United States"
Gary Numan,Gary Numan,"London, UK","London, England"
Gastr del Sol,Gastr del Sol,"Chicago, Illinois","Chicago, Illinois, United States"
Gavin Castleton,Gavin Castleton,"Providence, Rhode Island","Providence, Rhode Island, USA"
Gayngs,Gayngs,"Minneapolis, Minnesota","Minneapolis, MN, United States"
Gaza,Gaza,France,"Salt Lake City, Utah, U.S."
Genesis,Genesis,"Belfast, UK","Godalming, Surrey, England"
Genghis Tron,Genghis Tron,"Poughkeepsie, New York","Poughkeepsie, New York, United States"
Ghoul,Ghoul,Chicago,"Oakland, California, U.S."
Giants,Giants,UK,"Cedar Falls, Iowa"
Gifts From Enola,Gifts From Enola,Virginia,"Harrisonburg, Virginia, USA"
Gillian Welch,Gillian Welch,"Nashville, Tennessee","Nashville, Tennessee"
Gin Blossoms,Gin Blossoms,"Tempe, Arizona","Tempe, Arizona, U.S."
Girlfriends,Girlfriends,Portland,"Riverside, California, U.S."
Girls Against Boys,Girls Against Boys,"New York, New York","Washington, D.C., United States"
Gizmachi,Gizmachi,"Newburgh, New York","Newburgh, New York, U.S."
Glenn Branca,Glenn Branca,"New York, New York","Harrisburg, Pennsylvania, U.S."
Glocca Morra,Glocca Morra,"Philadelphia, Pennsylvania","Miami, Florida, U.S."
Goatwhore,Goatwhore,"New Orleans, Louisiana","New Orleans, Louisiana, U.S."
God Help The Girl,God Help The Girl,,"Glasgow, Glasgow City, United Kingdom"
God Lives Underwater,God Lives Underwater,"Ambler, Pennsylvania","Perkiomenville, Pennsylvania"
Gogol Bordello,Gogol Bordello,"New York, New York","New York City, New York"
Good Luck,Good Luck,"Charlotte, North Carolina","Bloomington, Indiana"
Good Old War,Good Old War,Philadelphia,"Philadelphia, Pennsylvania, United States"
Good Riddance,Good Riddance,"Santa Cruz, California","Santa Cruz, California, U.S."
Goon Moon,Goon Moon,"Los Angeles, California","Los Angeles, CA, United States"
Gorilla Biscuits,Gorilla Biscuits,"New York, New York","New York City, New York, U.S."
Gorillaz,Gorillaz,,"London, England"
Gospel,Gospel,"New York, New York","Brooklyn, New York City, U.S."
Grace Cathedral Park,Grace Cathedral Park,"Tokyo, Japan","Myrtle Beach, SC, United States"
Graham Nash,Graham Nash,"Blackpool, UK","Salford, Lancashire, England"
Grails,Grails,"Portland, Oregon","Portland, Oregon, U.S."
Gram Parsons,Gram Parsons,"Los Angeles, California","Winter Haven, Florida, U.S."
Gratitude,Gratitude,"Bristol, UK","San Francisco, California, U.S."
Grave Miasma,Grave Miasma,"England, UK","London, England"
Gray Matter,Gray Matter,"Washington, D.C.","Washington, D.C., U.S."
Grayceon,Grayceon,"San Francisco, California","San Francisco, California, United States"
Great White,Great White,"Herndon, Virginia","Los Angeles, California, U.S."
Greeley Estates,Greeley Estates,"Phoenix, Arizona","Maricopa County, Arizona, U.S."
Green River,Green River,"Seattle, Washington","Seattle, Washington, U.S."
Gregor Samsa,Gregor Samsa,"Alicante, Spain","Richmond, Virginia, United States"
Gregory Alan Isakov,Gregory Alan Isakov,"Boulder, Colorado","Philadelphia, Pennsylvania, U.S."
Gregory and the Hawk,Gregory and the Hawk,New York,"New York City, United States"
Grouper,Grouper,,"Astoria, Oregon"
Grown Ups,Grown Ups,Furnessville,"Chicago, IL, United States"
Guster,Guster,,"Somerville, Massachusetts, U.S."
Guthrie Govan,Guthrie Govan,UK,"Chelmsford, Essex, England"
Guttural Secrete,Guttural Secrete,Nevada,"Las Vegas, Nevada"
Gwynbleidd,Gwynbleidd,"Brooklyn, New York","Brooklyn, NY, United States"
Haken,Haken,Poland,"London, England"
Hallows Eve,Hallows Eve,"Atlanta, Georgia","Atlanta, GA, United States"
Halou,Halou,"San Francisco, California","San Francisco, California"
Hammerhead,Hammerhead,"Minneapolis, Minnesota","Moorhead, Minnesota, United States"
Hammers Of Misfortune,Hammers Of Misfortune,montana,"San Francisco, CA, United States"
Hammock,Hammock,"Nashville, Tennessee","Nashville, Tennessee, United States"
Hands,Hands,,"Fargo, ND, United States"
Hanzel Und Gretyl,Hanzel Und Gretyl,"New York, New York","New York City, United States"
Happy Body Slow Brain,Happy Body Slow Brain,"New York, New York",New York City
Happy Mondays,Happy Mondays,"Manchester, UK","Salford, England"
Harkonen,Harkonen,"Tacoma, Washington","Tacoma, Washington, U.S."
Harlots,Harlots,"Dayton, Ohio","Dayton, Ohio"
Harry Pussy,Harry Pussy,"Miami, Florida","Miami, Florida, United States"
Harvey Danger,Harvey Danger,"Seattle, Washington","Seattle, Washington, U.S."
Hate Eternal,Hate Eternal,"Tampa, Florida","St. Petersburg, Florida, U.S."
Hatebreed,Hatebreed,"Bridgeport, Connecticut","Bridgeport, Connecticut, U.S."
Hatred Surge,Hatred Surge,"Austin, Texas","Austin, Texas"
Havok,Havok,Sweden,"Denver, Colorado, U.S."
Hawkwind,Hawkwind,"London, UK","Ladbroke Grove, London, England"
Hawthorne Heights,Hawthorne Heights,"Dayton, Ohio","Dayton, Ohio, U.S."
Heartless Bastards,Heartless Bastards,"Austin, Texas","Cincinnati, Ohio, U.S."
Heavenly,Heavenly,"Oxford, UK","Oxford, Oxfordshire, United Kingdom"
Heavens to Betsy,Heavens to Betsy,,"Olympia, Washington"
Heir Apparent,Heir Apparent,"Lynnwood, Washington","Seattle, Washington, U.S."
Hell Is For Heroes,Hell Is For Heroes,"London, UK","Camden, London, England"
Hella,Hella,"Sacramento, California","Sacramento, California, U.S."
Helms Alee,Helms Alee,"Seattle, Washington","Seattle, Washington, U.S."
Henry Cow,Henry Cow,"Cambridge, UK","Cambridge, England"
Her Demise My Rise,Her Demise My Rise,,"Rancho Cucamonga, CA, United States"
Here We Go Magic,Here We Go Magic,"New York, New York","Brooklyn, New York, United States"
Hermano,Hermano,"Holland, Michigan","Palm Desert, CA, United States"
Hexen,Hexen,UK,"Los Angeles, CA"
Hey Monday,Hey Monday,"West Palm Beach, Florida","West Palm Beach, Florida, U.S."
High Places,High Places,"Los Angeles, California","Brooklyn, New York"
High Tide,High Tide,California,"Northampton, Northamptonshire, England"
Hightide Hotel,Hightide Hotel,"Philadelphia, Pennsylvania","Philadelphia, PA"
Himsa,Himsa,"Seattle, Washington","Seattle, Washington, United States"
Hockey,Hockey,"New York, New York","Portland, Oregon, United States"
Holding Onto Hope,Holding Onto Hope,"San Luis Obispo, California","San Luis Obispo, CA, United States"
Holy Grail,Holy Grail,"Los Angeles, California","Pasadena, California, U.S."
Honeywell,Honeywell,"Corona, California","Corona, CA, United States"
Hoobastank,Hoobastank,"Agoura Hills, California","Agoura Hills, California, U.S."
Hood,Hood,"Munich, Germany","Leeds, England"
Hop Along,Hop Along,"Philadelphia, Pennsylvania","Philadelphia, Pennsylvania, U.S."
Horseback,Horseback,"Chapel Hill, North Carolina","Chapel Hill, NC, United States"
Hot Chip,Hot Chip,"London, UK","London, England"
Hot Cross,Hot Cross,"Philadelphia, Pennsylvania","Philadelphia, Pennsylvania, U.S."
Hot Snakes,Hot Snakes,"San Diego, California","San Diego, California, U.S."
Hot Water Music,Hot Water Music,"Gainesville, Florida","Gainesville, Florida, U.S."
House Boat,House Boat,"New York, New York","Elmhurst, NY, United States"
House Of Heroes,House Of Heroes,"Columbus, Ohio","Columbus, Ohio, U.S."
Howl,Howl,"Providence, Rhode Island","Providence, Rhode Island"
Hurt,Hurt,"Wilmington, Delaware","Virginia, United States"
I Am Abomination,I Am Abomination,"Detroit, Michigan","Taylor, Michigan"
I Am Alpha and Omega,I Am Alpha and Omega,"Flemington, New Jersey","Flemington, New Jersey"
I Shalt Become,I Shalt Become,Illinois,"Illinois, United States"
IAMX,IAMX,"Los Angeles, California","London, England"
Ian Anderson,Ian Anderson,"New York, New York","Blackpool, Lancashire, England"
Ice Nine Kills,Ice Nine Kills,"Boston, Massachusetts","Boston, Massachusetts, U.S."
Idiot Pilot,Idiot Pilot,"Bellingham, Washington","Bellingham, Washington, U.S."
If These Trees Could Talk,If These Trees Could Talk,"Akron, Ohio","Akron, Ohio, US"
Iggy Pop,Iggy Pop,"Detroit, Michigan","Ann Arbor, Michigan, U.S"
Ignite,Ignite,California,"Orange County, California, U.S."
Ignominious Incarceration,Ignominious Incarceration,"Bath, UK","Bath, England"
Ima Robot,Ima Robot,"Los Angeles, California","Los Angeles, California, U.S."
Immolation,Immolation,"Yonkers, New York","Yonkers, New York, U.S."
Imogen Heap,Imogen Heap,London,"Romford, Greater London, England"
Impaled,Impaled,"Oakland, California","Oakland, California, U.S."
In First Person,In First Person,"New Brunswick, New Jersey","New Brunswick, New Jersey"
In Gowan Ring,In Gowan Ring,,"Seattle, WA, United States"
In My Eyes,In My Eyes,Massachusetts,"Boston, Massachusetts, U.S."
In Pieces,In Pieces,Portugal,"Glastonbury, CT, United States"
In This Moment,In This Moment,"Los Angeles, California","Los Angeles, California, U.S."
InMe,InMe,"England, UK","Brentwood, Essex, England"
Incantation,Incantation,"Brussels, Belgium","Fair Lawn, NJ, United States"
Incendiary,Incendiary,"New York, New York","Long Island, New York"
Indecision,Indecision,"Charlottesville, Virginia","Bay Ridge, Brooklyn"
Indian,Indian,Czechia,"Chicago, IL"
Indigo Girls,Indigo Girls,"Atlanta, Georgia","Atlanta, Georgia, United States"
Indricothere,Indricothere,"Queens, New York",New York City
Inferi,Inferi,"Nashville, Tennessee","Nashville, Tennessee"
Ingested,Ingested,"Manchester, UK","Manchester, England"
Institute,Institute,"Austin, Texas","Brooklyn, NY, United States"
Integrity,Integrity,Belgium,"Cleveland, Ohio, U.S."
Inter Arma,Inter Arma,"Richmond, Virginia","Richmond, Virginia"
Internal Bleeding,Internal Bleeding,"Centereach, New York","Long Island, New York, U.S."
Interpol,Interpol,"Brooklyn, New York","New York City, U.S."
Intronaut,Intronaut,"Budapest, Hungary","Los Angeles, California, U.S."
Intruder,Intruder,Québec,"Nashville, TN, United States"
Irepress,Irepress,"Boston, Massachusetts","Sharon, MA, United States"
Iron Chic,Iron Chic,"Huntington Station, New York","Long Island, New York, United States"
Iron Monkey,Iron Monkey,"Nottingham, UK","Nottingham, England"
Iron Thrones,Iron Thrones,Minneapolis,"Minneapolis, MN, United States"
Jack Rose,Jack Rose,"Philadelphia, Pennsylvania","Fredericksburg, VA, United States"
Jackyl,Jackyl,Austria,"Kennesaw, Georgia, U.S."
Jacobi Wichita,Jacobi Wichita,"Norwalk, Connecticut","Norwalk, Connecticut"
Jag Panzer,Jag Panzer,Colorado,"Colorado Springs, Colorado, U.S."
Jaguar,Jaguar,Switzerland,"Bristol, England"
Jaguar Love,Jaguar Love,"Portland, Oregon","Seattle, Washington"
James Gang,James Gang,UK,"Cleveland, Ohio, U.S."
James Taylor,James Taylor,"Boston, Massachusetts","Boston, Massachusetts, U.S."
Jamie T,Jamie T,"London, UK","Wimbledon, South London, England"
Jason Becker,Jason Becker,,"Richmond, California, U.S.[1]"
Jason Isbell,Jason Isbell,Alabama,"Green Hill, Alabama, U.S."
Jason Mraz,Jason Mraz,"Mechanicsville, Virginia","Mechanicsville, Virginia, U.S."
Jawbox,Jawbox,"Washington, D.C.","Washington, D.C., U.S."
Jawbreaker,Jawbreaker,"Minneapolis, Minnesota","East Bay, California, U.S.[1]"
Jay Reatard,Jay Reatard,"Memphis, Tennessee","Memphis, Tennessee"
Jeremy Enigk,Jeremy Enigk,"Seattle, Washington","Seattle, WA, United States"
Jesus Jones,Jesus Jones,"London, UK","Bradford-on-Avon, Wiltshire, England"
Jets to Brazil,Jets to Brazil,"Brooklyn, New York","Brooklyn, New York, U.S."
Jex Thoth,Jex Thoth,Wisconsin,"Madison, Wisconsin, United States"
Jim Sullivan,Jim Sullivan,California,"San Diego, California, U.S."
Joan Baez,Joan Baez,"New York, New York","Staten Island, New York, U.S."
Joan of Arc,Joan of Arc,"Chicago, Illinois","Chicago, Illinois, U.S."
Joanna Newsom,Joanna Newsom,"Nevada City, California","Grass Valley, California, U.S."
Joe Satriani,Joe Satriani,"New York, New York","Westbury, New York, U.S."
Joey Eppard,Joey Eppard,"Woodstock, New York","Kingston, New York, United States"
John Cale,John Cale,"Wales, UK","Garnant, Carmarthenshire, Wales"
John Denver,John Denver,"Aspen, Colorado","Roswell, New Mexico, U.S."
John Fahey,John Fahey,"Marshfield, Massachusetts","Washington, DC, United States"
John Frusciante,John Frusciante,"Los Angeles, California","New York City, U.S."
John Grant,John Grant,Virginia,"Buchanan, Michigan, U.S."
John Lee Hooker,John Lee Hooker,"Clarksdale, Missouri","Los Altos, California, U.S."
John Maus,John Maus,Minnesota,"Los Angeles, California, U.S."
John McLaughlin,John McLaughlin,"Manitowoc, Wisconsin","Doncaster, South Yorkshire, United Kingdom"
John Prine,John Prine,Nashville,"Maywood, Illinois, U.S."
Johnny Cash,Johnny Cash,"Nashville, Tennessee","Kingsland, Arkansas, U.S."
Johnny Foreigner,Johnny Foreigner,"Birmingham, UK","Birmingham, UK"
Johnny Thunders,Johnny Thunders,"New York, New York","Queens, New York, U.S."
Johnny Winter,Johnny Winter,"Beaumont, Texas","Beaumont, Texas, U.S."
Jon Anderson,Jon Anderson,"Lancaster, South Carolina","Accrington, Lancashire, England"
Jonathan Richman,Jonathan Richman,California,"Natick, Massachusetts"
Josef K,Josef K,"Paris, France","Edinburgh, Scotland"
Joseph Arthur,Joseph Arthur,"Akron, Ohio","Akron, Ohio, U.S."
Josh Ritter,Josh Ritter,"Brooklyn, New York","Moscow, Idaho, U.S."
Journal,Journal,"Philadelphia, Pennsylvania","Sacramento, CA, United States"
Journey,Journey,Japan,"San Francisco, California, U.S."
Jucifer,Jucifer,"Athens, Georgia","Athens, Georgia, U.S."
Judas Priest,Judas Priest,"West Bromwich, UK","Birmingham, England[1]"
Judge,Judge,"New York, New York",New York City
Jukebox the Ghost,Jukebox the Ghost,"New York, New York","Washington, DC, United States"
Julia,Julia,"London, UK","San Diego, CA, United States"
Julian Lynch,Julian Lynch,Wisconsin,"Ridgewood, New Jersey, United States"
Juliana Hatfield,Juliana Hatfield,"Boston, Massachusetts","Wiscasset, ME, United States"
Julie Christmas,Julie Christmas,"Brooklyn, New York","Brooklyn, New York, U.S."
June,June,,"Chicago, IL"
