artist,href,style,country
EDGEND,6382,Progressive Metal,Israel
EDHELS,141,Neo-Prog,Monaco
EDISON'S CHILDREN,6967,Neo-Prog,Multi-National
EDITH,592,Neo-Prog,Italy
EDITION SPÉCIALE,1519,Jazz Rock/Fusion,France
EDO,8359,Jazz Rock/Fusion,Canada
EDREMERION,12369,Experimental/Post Metal,France
EELA CRAIG,92,Jazz Rock/Fusion,Austria
EF,3434,Post Rock/Math rock,Sweden
EFECTO,8840,Eclectic Prog,Chile
"EFECTO, EL",10803,Eclectic Prog,Brazil
EFFA LENTE,11346,Crossover Prog,Ireland
"EFFET DEFEE, L'",8705,RIO/Avant-Prog,France
EFFLORESCE,6361,Progressive Metal,Germany
EFTERKLANG,3785,Post Rock/Math rock,Denmark
EGDON HEATH,1345,Neo-Prog,Netherlands
EGG,665,Canterbury Scene,United Kingdom
EGGROLL,2446,Symphonic Prog,Israel
EGO,6802,Rock Progressivo Italiano,Italy
EGO EIMI,1837,Progressive Metal,Russia
EGO ON THE ROCKS,996,Psychedelic/Space Rock,Germany
EGOBAND,93,Neo-Prog,Italy
"EGOCENTRICS, THE",5656,Psychedelic/Space Rock,Romania
EGOIST,4577,Experimental/Post Metal,Poland
EGONON,6727,Rock Progressivo Italiano,Italy
EGREGOR,11624,Progressive Metal,Chile
EGYPT IS THE MAGICK #,6229,Krautrock,United States
EGYPTIAN KINGS,2699,Psychedelic/Space Rock,Portugal
EHNAHRE,5861,Experimental/Post Metal,United States
EIDER STELLAIRE,2690,Zeuhl,France
EIDETIC SEEING,6597,Psychedelic/Space Rock,United States
EIDOLA,11960,Experimental/Post Metal,United States
EIDÔLON,4693,Crossover Prog,France
EIEMEL,10981,Symphonic Prog,Argentina
EIGENGRAU,10656,Experimental/Post Metal,Denmark
EIGHT BELLS,8329,Experimental/Post Metal,United States
EIGHTH WHALE,7423,Heavy Prog,United States
EIK,2306,Symphonic Prog,Iceland
EILIFF,876,Krautrock,Germany
EIMOG,5537,Post Rock/Math rock,Italy
EINNA,4578,Experimental/Post Metal,France
EINSEINSEINS,10318,Krautrock,Germany
EJWUUSL WESSAHQQAN,3577,Krautrock,Germany
"EKLUNDH, MATTIAS IA",2535,Tech/Extreme Prog Metal,Sweden
EKOS,8092,Psychedelic/Space Rock,Mexico
EKPHRASIS,11368,Eclectic Prog,France
EKSEPTION,1321,Eclectic Prog,Netherlands
EKSI EKSO,3928,Post Rock/Math rock,United States
EKTROVERDE,6650,Psychedelic/Space Rock,Finland
EKZILO,11627,Psychedelic/Space Rock,Spain
EL PODER DE LA INFANCIA,12828,Eclectic Prog,Argentina
EL SHALOM,12456,Krautrock,Germany
EL TEN ELEVEN,11648,Post Rock/Math rock,United States
ELANE,7074,Prog Folk,Germany
ELDBERG,6794,Crossover Prog,Iceland
ELDER,10073,Heavy Prog,United States
ELDOVAR,12035,Heavy Prog,Germany
ELDRITCH,758,Progressive Metal,Italy
ELDS MARK,11274,Prog Folk,Norway
ELECTRA,7597,Crossover Prog,Germany
ELECTRIC DESERT,10191,Prog Folk,Israel
ELECTRIC EYE,9430,Psychedelic/Space Rock,Norway
ELECTRIC LIGHT ORCHESTRA,2259,Crossover Prog,United Kingdom
ELECTRIC MASADA,5158,RIO/Avant-Prog,United States
ELECTRIC MOON,5830,Psychedelic/Space Rock,Germany
ELECTRIC MUD,5415,Krautrock,Germany
ELECTRIC MUD,10780,Eclectic Prog,Germany
ELECTRIC ORANGE,3249,Krautrock,Germany
ELECTRIC OUTLET,9752,Jazz Rock/Fusion,Germany
ELECTRIC SANDWICH,2801,Krautrock,Germany
ELECTRIC SORCERY,5828,Crossover Prog,United States
ELECTRIC WÜRMS,12610,Psychedelic/Space Rock,United States
ELECTRO COMPULSIVE THERAPY,11910,Crossover Prog,Mexico
ELECTRO QUARTERSTAFF,2965,Tech/Extreme Prog Metal,Canada
ELECTROCUTION 250,1877,Tech/Extreme Prog Metal,United States
ELECTROMAGNETS,1950,Jazz Rock/Fusion,United States
ELECTRUM,890,Crossover Prog,United States
ELEGANT SIMPLICITY,1385,Neo-Prog,United Kingdom
ELEKTRIKTUS,6107,Progressive Electronic,Italy
ELEKTRYK BESTIA,8216,Eclectic Prog,United States
"ELEMENT, THE",9629,Progressive Metal,United States
ELEMENTS,10122,Neo-Prog,Netherlands
ELEND,6284,Crossover Prog,France
ELENIUM,5013,Tech/Extreme Prog Metal,Poland
ELENIUM,4550,Tech/Extreme Prog Metal,Finland
ELEPHANT & CASTLE,1494,Neo-Prog,France
ELEPHANT GYM,12772,Post Rock/Math rock,Taiwan
ELEPHANT PLAZA,10185,Crossover Prog,Norway
ELEPHANT TOK,9860,Zeuhl,France
ELEPHANT9,5014,Jazz Rock/Fusion,Norway
ELEPHANTS OF SCOTLAND,7882,Neo-Prog,United States
ELEVATOR,5206,Psychedelic/Space Rock,Canada
ELEVEN STRINGS,10182,Progressive Metal,Brazil
ELEVENTH OCEAN,7959,Progressive Metal,Argentina
ELEVENWIRE,12596,Heavy Prog,United States
ELF PROJECT,8412,Heavy Prog,United States
ELFONÍA,1330,Prog Folk,Mexico
ELIAS,11577,Heavy Prog,Australia
ELIAS HULK,3642,Heavy Prog,United Kingdom
ELICOIDE,2795,Progressive Electronic,Italy
ELIPHASZ,7515,Crossover Prog,Canada
"ELISEEV PROJECT  (D.E.P.), DANIEL",10829,Heavy Prog,Bulgaria
ELISIR D'AMBROSIA,11247,Rock Progressivo Italiano,Italy
ELIXIR,6633,Neo-Prog,France
ELIZABETH THE LAST,10838,Post Rock/Math rock,Germany
"ELIZABETH, NANCY",8892,Prog Folk,United Kingdom
ELLESMERE,9611,Symphonic Prog,Italy
ELLEVEN,9291,Neo-Prog,Germany
"ELLIOTT, RYAN MARK",11363,Crossover Prog,United States
ELLIPSIS,4558,Experimental/Post Metal,France
ELLIS THE VACUUMCHILD,5596,Post Rock/Math rock,Sweden
"ELLIS, BRIAN",6506,Psychedelic/Space Rock,United States
"ELLIS, DON",4921,Jazz Rock/Fusion,United States
ELOHIM,1425,Symphonic Prog,France
ELOHYMN,9235,Post Rock/Math rock,United Kingdom
ELOITERON,1605,Symphonic Prog,Switzerland
ELONKORJUU,3202,Heavy Prog,Finland
ELORA,8095,Crossover Prog,France
ELOY,95,Psychedelic/Space Rock,Germany
ELVARON,4555,Progressive Metal,France
"ELVIN, EMMETT",9992,Eclectic Prog,United Kingdom
ELYSIUM,11564,Crossover Prog,Switzerland
ELYSIUM THEORY,5568,Crossover Prog,United States
EMBRYO,1087,Jazz Rock/Fusion,Germany
EMERALD,2032,Neo-Prog,Netherlands
EMERALD CITY COUNCIL,12604,Symphonic Prog,United States
"EMERALD CITY, AN",6308,Psychedelic/Space Rock,Multi-National
"EMERALD DAWN, THE",9178,Neo-Prog,United Kingdom
EMERALD EDGE,10103,Progressive Metal,Germany
EMERALDS,7029,Progressive Electronic,United States
ÉMERAUDE,3388,Prog Folk,France
EMERGENCY,3904,Jazz Rock/Fusion,Multi-National
EMERGENCY EXIT,10388,Eclectic Prog,France
EMERSON LAKE & PALMER,94,Symphonic Prog,United Kingdom
"EMERSON, KEITH",2890,Crossover Prog,United Kingdom
EMISFERI PARALLELI,7981,Progressive Metal,Italy
EMISFERO BOREALE,12554,Jazz Rock/Fusion,Italy
EMMA MYLDENBERGER,2612,Krautrock,Germany
"EMMANUEL, J.D.",5267,Progressive Electronic,United States
"EMMENS, GERT",8003,Crossover Prog,Netherlands
EMOLECULE,12852,Crossover Prog,Canada
"EMOND, REDJY",892,Symphonic Prog,Canada
EMPATHI,10005,Eclectic Prog,Thailand
EMPEROR NORTON,10534,Crossover Prog,United Kingdom
EMPHASIS,9903,Progressive Metal,Estonia
EMPHASIS,5578,Post Rock/Math rock,Croatia
EMPIRE,5106,Crossover Prog,United Kingdom
EMPIRE,1978,Rock Progressivo Italiano,Italy
EMPIRE BATHTUB,11452,Heavy Prog,United States
EMPIRES,3848,Experimental/Post Metal,United States
EMPIRICAL TIME,8859,Crossover Prog,Italy
EMPTY SILOS ECHO WAR,9236,Post Rock/Math rock,United States
EMPTY SPACE ORCHESTRA,5443,Eclectic Prog,United States
EMPTY TREMOR,717,Progressive Metal,Italy
EMPTY YARD EXPERIMENT,6830,Experimental/Post Metal,United Arab Emirates
EMPYREAN SANCTUM,8665,Progressive Metal,United States
EMPYREAN SKY,6160,Tech/Extreme Prog Metal,United States
EMPYRIA,4966,Progressive Metal,Canada
EMPYRIOS,3234,Progressive Metal,Italy
EMTIDI,591,Prog Folk,Germany
EN PLEIN AIR,5293,Post Rock/Math rock,Italy
ENABLERS,6514,Post Rock/Math rock,United States
ENBOR,2018,Prog Folk,Spain
ENCENATHRAKH,12387,Tech/Extreme Prog Metal,United States
ENCHANT,96,Heavy Prog,United States
ENCORE + GRANDE,5227,RIO/Avant-Prog,Multi-National
END AMEN,6155,Progressive Metal,Germany
"END OF THE OCEAN, THE",9268,Post Rock/Math rock,United States
ENDER,5303,Experimental/Post Metal,New Zealand
ENDGAME,12342,Progressive Electronic,United Kingdom
ENDITOL,6399,Tech/Extreme Prog Metal,Canada
ENDLESS SEASON,10449,Jazz Rock/Fusion,Italy
"ENDLESS SPORADIC, AN",4384,Progressive Metal,United States
ENDLESS VALLEY,12076,Psychedelic/Space Rock,Australia
ENDLICH ALLEIN,1459,Neo-Prog,Italy
ENDNAME,8494,Experimental/Post Metal,Russia
ENDOPLASMIC FLOW,8949,Progressive Electronic,Multi-National
ENDTIME ODYSSEY,10768,Progressive Metal,Belgium
ENDWORLD HALOS,10714,Psychedelic/Space Rock,Finland
ENEIDE,932,Rock Progressivo Italiano,Italy
ENERGIT,4042,Jazz Rock/Fusion,Czech Republic
ENERGY,10801,Jazz Rock/Fusion,Sweden
ENERGY OF SOUND,8704,Jazz Rock/Fusion,United States
ENFANT,9487,Heavy Prog,Bolivia
ENGEL (MIGUEL ANGEL DE LA LLAVE JIMENEZ),7232,Prog Folk,Spain
ENGLAND,616,Symphonic Prog,United Kingdom
"ENGLISH, AARON",5766,Crossover Prog,United States
"ENGOULEVENT, L'",2700,Prog Folk,Canada
ENGRAMA / [ENGRAMA],6510,Post Rock/Math rock,Multi-National
ENIAC REQUIEM,3415,Progressive Metal,United States
"ENID, THE",778,Symphonic Prog,United Kingdom
"ENIGMA DIVISION, THE",12421,Progressive Metal,Ireland
ENIGMATIC INFINITY,9961,Progressive Metal,Hungary
ENIMA,9113,Rock Progressivo Italiano,Italy
ENINE,10442,Crossover Prog,Russia
ENMARTE,7828,Heavy Prog,Argentina
ENNEADE,3340,Progressive Metal,France
ENNÏS TÓLA,6346,Crossover Prog,Australia
"ENO, BRIAN",1639,Progressive Electronic,United Kingdom
ENOCHIAN THEORY,4885,Progressive Metal,United Kingdom
ENORMITY,9415,Heavy Prog,United States
ENPHIN / EX PH (MR. PETER HAYDEN),12373,Experimental/Post Metal,Finland
ENSAMBLE DENTRO DE LA NADA,12468,RIO/Avant-Prog,Mexico
ENSEMBLE 1,11845,Experimental/Post Metal,United Kingdom
ENSEMBLE HAVADIÀ ,3413,RIO/Avant-Prog,Italy
ENSEMBLE NIMBUS,501,RIO/Avant-Prog,Sweden
ENSEMBLE PEARL,11887,Post Rock/Math rock,Multi-National
"ENSEMBLE RAYÉ, L'",5383,RIO/Avant-Prog,Switzerland
ENSEMBLE SUPERMUSIQUE,5468,RIO/Avant-Prog,Canada
ENSLAVED,2481,Tech/Extreme Prog Metal,Norway
ENTER TWILIGHT,3859,Progressive Metal,Australia
ENTHEOS,12683,Experimental/Post Metal,Canada
ENTITY,8827,Rock Progressivo Italiano,Italy
ENTITY PARADIGM,6714,Crossover Prog,Pakistan
"ENTOURAGE MUSIC AND THEATER ENSEMBLE, THE ",3905,Indo-Prog/Raga Rock,United States
ENTRANCE,2255,Progressive Metal,Chile
ENTRANCE,11157,Jazz Rock/Fusion,Denmark
"ENTRANCE BAND, THE",7570,Psychedelic/Space Rock,United States
ENTRANSIENT,9730,Crossover Prog,United States
ENTROPIA,11695,Tech/Extreme Prog Metal,Poland
ENTROPIA,6471,Progressive Metal,Colombia
ENTROPIA UTOPIA,9086,Progressive Metal,Greece
ENUMCLAW,12874,Progressive Electronic,United States
ENVENOMIST,8956,Progressive Electronic,United States
ENVINITY,5147,Progressive Metal,United States
ENVIZIBLE ORKESTRA,11526,Crossover Prog,United Kingdom
ENVY,3072,Post Rock/Math rock,Japan
EOS,8229,Crossover Prog,Chile
EPECTASE,12561,Experimental/Post Metal,France
EPHEL DUATH,2040,Experimental/Post Metal,Italy
EPHEMERAL,12297,Crossover Prog,Italy
EPHEMERAL SUN,3333,Progressive Metal,United States
EPHRAT,4074,Heavy Prog,Israel
EPIC MIND,10104,Progressive Metal,Netherlands
EPIC TANTRUM,11224,Eclectic Prog,United States
EPICA,5184,Progressive Metal,Italy
EPICA,3068,Progressive Metal,Netherlands
EPIDAURUS,571,Symphonic Prog,Germany
EPIDERMIS,572,Eclectic Prog,Germany
EPIGNOSIS,4642,Symphonic Prog,United States
EPIGRAM,5287,Post Rock/Math rock,Canada
EPIICYCLE,6440,Crossover Prog,United States
EPILOGUE,1365,Neo-Prog,United Kingdom
EPISCOPIO VISTARAMA,11245,Rock Progressivo Italiano,Italy
EPISODE,2435,Symphonic Prog,United States
EPISTASIS,9183,Experimental/Post Metal,United States
EPITAPH,9698,Heavy Prog,Mexico
EPITAPHE,12600,Tech/Extreme Prog Metal,France
EPIZOOTIC,10785,Heavy Prog,Sweden
EPN TRIO,8810,RIO/Avant-Prog,Argentina
EPSILON,3433,Krautrock,Germany
EPYSODE,6826,Progressive Metal,Belgium
EQUAL VECTOR,4890,Progressive Metal,Greece
EQUATIONS,9343,Psychedelic/Space Rock,Portugal
EQUILIBRIO VITAL,2779,Symphonic Prog,Venezuela
EQUIMANTHORN,12867,Progressive Electronic,United States
EQUINOX,9888,Progressive Metal,Serbia
EQUINOX,97,Neo-Prog,Panama
EQUIPE 84,6262,Rock Progressivo Italiano,Italy
EQUUS,3731,Post Rock/Math rock,Switzerland
ER. J. ORCHESTRA,2833,Prog Related,Ukraine
ERA DI ACQUARIO,2989,Rock Progressivo Italiano,Italy
ERA VULGARIS,3344,Tech/Extreme Prog Metal,United Kingdom
ERASMUS,1376,Neo-Prog,United Kingdom
"ERDÉSZ, RÓBERT",3176,Prog Folk,Hungary
ERE G,1107,Eclectic Prog,Canada
EREBE,12462,Experimental/Post Metal,France
EREHIA,7602,RIO/Avant-Prog,Mexico
ERGO,5214,Jazz Rock/Fusion,United States
ERGO SUM,871,Prog Folk,Chile
ERGO SUM,2902,Jazz Rock/Fusion,France
ERIC G,12401,Progressive Electronic,Sweden
ERIS PLUVIA,503,Rock Progressivo Italiano,Italy
ERLKOENIG,2048,Krautrock,Germany
ERNA SCHMIDT,3529,Krautrock,Germany
EROC,1795,Krautrock,Germany
EROICA,3885,Post Rock/Math rock,United States
ERRATA CORRIGE,502,Rock Progressivo Italiano,Italy
ERROBI,2464,Prog Folk,Spain
ERTH,6944,RIO/Avant-Prog,Costa Rica
ERTLIF,11349,Psychedelic/Space Rock,Switzerland
ERUPTION,3360,Krautrock,Germany
ERYN NON DAE.,6276,Tech/Extreme Prog Metal,France
ESAGIL,5489,Crossover Prog,Greece
ESAGONO,2164,Jazz Rock/Fusion,Italy
ESB,12757,Progressive Electronic,France
ESCAPADE,4340,Psychedelic/Space Rock,United States
ESCHATON,8646,Tech/Extreme Prog Metal,Austria
ESCHATOS,12153,Experimental/Post Metal,Latvia
ESCHERBACH,4444,Heavy Prog,United States
ESFERA,9863,Crossover Prog,Portugal
ESKALATION,9981,RIO/Avant-Prog,Germany
ESKAPE,2311,Neo-Prog,Germany
ESKATON,1089,Zeuhl,France
ESKIMO,2660,RIO/Avant-Prog,United States
ESMERINE,5526,Post Rock/Math rock,Canada
ESP PROJECT (ESP 2.0 & ESP),10081,Crossover Prog,Multi-National
ESPERANTO,1185,Eclectic Prog,Multi-National
ESPERS,3115,Prog Folk,United States
ESPÍRITU,993,Symphonic Prog,Argentina
ESQUIRE,2370,Prog Related,United Kingdom
ESQUIZOIDE,12792,Heavy Prog,Argentina
ESSENTIAL HAZARD,7939,Jazz Rock/Fusion,United States
"ESTATE DI SAN MARTINO, L'",3474,Rock Progressivo Italiano,Italy
ESTHEMA,5531,Eclectic Prog,United States
ESTHESIS,11552,Neo-Prog,France
ESTHETIC PALE,2067,Neo-Prog,Germany
ESTIGMA,3836,Heavy Prog,Chile
ESTRADASPHERE,2041,RIO/Avant-Prog,United States
ESTRUCTURA,2121,Symphonic Prog,Venezuela
ESTYGYA,6391,Progressive Metal,Spain
ET CETERA,463,Eclectic Prog,Canada
ET CETERA (DE),6818,Krautrock,Germany
ETCETERA,98,Symphonic Prog,Denmark
ETER-K,5182,Psychedelic/Space Rock,Peru
ETERNAL DEFORMITY,3952,Experimental/Post Metal,Poland
ETERNAL ESSENCE,3816,Progressive Metal,United States
ETERNAL JOURNEY,6378,Progressive Metal,Germany
ETERNAL TAPESTRY,6236,Psychedelic/Space Rock,United States
ETERNAL WANDERERS,3566,Neo-Prog,Russia
ETERNIDAD,1977,Prog Folk,Argentina
ÉTERNITÉ,9749,Symphonic Prog,Canada
ETERNITY VOID,6248,Tech/Extreme Prog Metal,United States
ETERNITY X,99,Progressive Metal,United States
ETHEREAL,5205,Progressive Metal,Portugal
ETHEREAL ARCHITECT,4913,Progressive Metal,United States
ETHEREAL STATUS,1762,Progressive Metal,Greece
ETHEREALITY,4553,Progressive Metal,United States
ETHERS EDGE,6272,Crossover Prog,United Kingdom
ETHERSENS,4552,Experimental/Post Metal,France
ETHIVA,10264,Psychedelic/Space Rock,Spain
ETHOS,547,Symphonic Prog,United States
ETNA,4927,Jazz Rock/Fusion,Italy
ETOX,8027,Progressive Metal,Germany
ETRANGE,11093,Progressive Metal,France
ÊTRE,12702,Progressive Metal,Denmark
ETRON FOU LELOUBLAN,999,RIO/Avant-Prog,France
ETT ROP PÅ HJÄLP,8447,Heavy Prog,Sweden
ETURIVI,10678,Krautrock,Finland
EULENSPYGEL,2113,Krautrock,Germany
EUMERIA,6866,Progressive Metal,United States
EUPHORIA,5550,Post Rock/Math rock,Japan
EURASIA,10433,Rock Progressivo Italiano,Italy
EUREKA,4721,Neo-Prog,Germany
EURHYBIA,1478,Neo-Prog,France
EUTHYMIA,6300,Rock Progressivo Italiano,Italy
EUZEN,12230,Crossover Prog,Multi-National
EVEL GAZEBOW,7947,Psychedelic/Space Rock,United Kingdom
EVELINE,5138,Crossover Prog,Italy
EVELINE'S DUST,9982,Eclectic Prog,Italy
EVEN FLOW,10342,Progressive Metal,Italy
EVEN HORSES,7187,Crossover Prog,Germany
"EVENFALL, THE",9330,Progressive Metal,Argentina
EVENSTATE,9673,Progressive Metal,Netherlands
EVENT,561,Crossover Prog,United States
EVENT CLOAK,12868,Progressive Electronic,Canada
EVENT HORIZON,6397,Progressive Metal,United Kingdom
EVER FORTHRIGHT,6845,Tech/Extreme Prog Metal,United States
EVERFRIEND,6912,Symphonic Prog,United States
EVERGREY,433,Progressive Metal,Sweden
EVERON,371,Heavy Prog,Germany
EVERSHAM,9214,Post Rock/Math rock,Australia
EVERSHIP,9901,Neo-Prog,United States
EVERWOOD,1560,Progressive Metal,Hungary
EVERY OTHER FATE,4036,Heavy Prog,United States
EVERY WAKING HOUR,5358,Neo-Prog,United States
EVERYTHING IS MADE IN CHINA,3669,Post Rock/Math rock,Russia
EVIL INSIDE,6991,Experimental/Post Metal,Spain
ÉVOHÉ,10809,Zeuhl,France
EVOLUCIÓN,2251,Jazz Rock/Fusion,Chile
EVOLUTIVE,4836,Neo-Prog,France
EVOLVE IV,3981,Prog Related,United States
"EVPATORIA REPORT, THE",3122,Post Rock/Math rock,Switzerland
EVRAAK,12355,Eclectic Prog,Japan
EX CANIX,10574,Krautrock,Sweden
EX CATHEDRA,2265,Prog Related,United States
EX CURIA / SKY SIGNALS,9143,Experimental/Post Metal,Australia
EX EYE,10259,Experimental/Post Metal,United States
EX LIBRIS,12328,Progressive Metal,Netherlands
EX OVO PRO,12513,Jazz Rock/Fusion,Germany
EX OX,12565,Progressive Electronic,Canada
EX REVERIE,12629,Prog Folk,United States
EX VITAE,7941,Jazz Rock/Fusion,France
EX-GIRL,4474,RIO/Avant-Prog,Japan
EX-LIBRIS,11043,Symphonic Prog,Canada
EX-P,5373,RIO/Avant-Prog,Italy
EX-VAGUS,2980,Symphonic Prog,France
EX-WISE HEADS,5646,Crossover Prog,United Kingdom
EXAMPLES OF TWELVES,5260,Jazz Rock/Fusion,United Kingdom
EXAWATT,4331,Progressive Metal,Italy
EXCESSIVE,12885,Progressive Metal,Norway
EXCESSIVE VISAGE,11062,Eclectic Prog,Germany
EXCLUSIVE RAJA,8418,Eclectic Prog,France
EXCUBUS,4093,Heavy Prog,Canada
EXEDRA,11602,Progressive Metal,Italy
EXENCE,6379,Tech/Extreme Prog Metal,Italy
EXHAUST,5628,Post Rock/Math rock,Canada
EXHIBIT A,6124,Neo-Prog,United Kingdom
EXHIBITION,3970,Progressive Metal,United States
EXHOPE,4772,Progressive Metal,France
EXIL,10546,Jazz Rock/Fusion,Germany
EXIST,11584,Tech/Extreme Prog Metal,United States
EXISTENCE,10170,Crossover Prog,Canada
EXISTENTIA,11872,Progressive Metal,Russia
EXIT,11306,Prog Related,Switzerland
EXIT STAGE LEFT,12607,Crossover Prog,Sweden
EXIVIOUS,2493,Tech/Extreme Prog Metal,Netherlands
EXMAGMA,1802,Jazz Rock/Fusion,Germany
EXODE,6828,Symphonic Prog,France
EXODUS,2017,Symphonic Prog,Poland
EXODUS TO INFINITY,11785,Eclectic Prog,United States
EXOTIC ANIMAL PETTING ZOO,4110,Experimental/Post Metal,United States
EXOUSTIA,8328,Neo-Prog,United States
EXOVEX,9355,Crossover Prog,United States
EXPATRIATED,10684,Tech/Extreme Prog Metal,Denmark
EXPERIMENTAL,3947,Eclectic Prog,Chile
EXPERIMENTAL QUINTET,8219,Eclectic Prog,Romania
EXPIRATION OF A YOUNG MAN,11065,Post Rock/Math rock,Egypt
EXPLOIT,3573,Rock Progressivo Italiano,Italy
"EXPLORADORES, LOS ",11011,Eclectic Prog,Norway
EXPLORERS CLUB,375,Heavy Prog,United States
EXPLOSIONS IN THE SKY,1746,Post Rock/Math rock,United States
EXPO '70,4153,Progressive Electronic,United States
EXPONENT,9922,Krautrock,Germany
EXSIMIO,2165,Heavy Prog,Chile
EXTINCTION ALGORITHM,6352,Experimental/Post Metal,Romania
EXTOL,4548,Tech/Extreme Prog Metal,Norway
EXTRA BALL,3510,Jazz Rock/Fusion,Poland
EXTRA LIFE,4073,RIO/Avant-Prog,United States
EXTREMITIES,10526,Tech/Extreme Prog Metal,Netherlands
EXTREMITIES,12590,Progressive Electronic,United Kingdom
EXTROVERT,2701,Progressive Metal,Russia
EXXASENS,10456,Post Rock/Math rock,Spain
EXXON,11385,Neo-Prog,Denmark
EXXPERIOR,11981,Tech/Extreme Prog Metal,Germany
EYALA,11236,Progressive Metal,Mexico
EYE,6981,Psychedelic/Space Rock,United States
EYE 2 EYE,4920,Neo-Prog,France
EYELESS OWL,12521,Eclectic Prog,United States
EYES OF ETHEREA,9702,Jazz Rock/Fusion,Australia
EYESBERG,9117,Neo-Prog,Germany
EYESTRINGS,1326,Neo-Prog,United States
EYEVORY,7767,Crossover Prog,Germany
EYOT,6764,Jazz Rock/Fusion,Serbia
EZOO,3159,Jazz Rock/Fusion,Multi-National
EZRA,100,Neo-Prog,United Kingdom
EZRA WINSTON,101,Symphonic Prog,Italy
F,10525,Tech/Extreme Prog Metal,Finland
F.A.T.,10214,Post Rock/Math rock,France
F.G EXPERIMENTAL LABORATORY,4976,Progressive Electronic,Switzerland
F.O.R.S.,10924,Neo-Prog,Switzerland
F/I,4250,Psychedelic/Space Rock,United States
"FABBRICA DELL'ASSOLUTO, LA",9655,Rock Progressivo Italiano,Italy
FABIO CELI E GLI INFERMIERI,4148,Rock Progressivo Italiano,Italy
FACE THE DAY,9954,Crossover Prog,Czech Republic
"FACEDANCERS, THE",5746,Psychedelic/Space Rock,United States
"FACELESS, THE",3282,Tech/Extreme Prog Metal,United States
FACEMEAT,9635,RIO/Avant-Prog,Australia
FACING NEW YORK,6715,Heavy Prog,United States
FACTOR BURZACO,3753,RIO/Avant-Prog,Argentina
FACTORY OF DREAMS,4809,Neo-Prog,Portugal
"FAFARD, ANTOINE",7218,Jazz Rock/Fusion,Canada
FAINT SIGNAL,8747,Crossover Prog,United States
FAIR TO MIDLAND,4673,Crossover Prog,United States
FAIR WIND PLEASES,11636,RIO/Avant-Prog,Russia
FAIRPORT CONVENTION,2162,Prog Related,United Kingdom
FAIRUZ DERIN BULUT,8100,Psychedelic/Space Rock,Turkey
FAIRY TALE,8736,Crossover Prog,Slovakia
FAITHFUL BREATH,4108,Symphonic Prog,Germany
"FAJT, PAVEL",5470,RIO/Avant-Prog,Czech Republic
"FAKANAS, YIORGOS",7438,Jazz Rock/Fusion,Greece
"FALAISE, BERNARD",5319,RIO/Avant-Prog,Canada
FALCONBROOK,7885,Post Rock/Math rock,United States
FALCONETTI,12306,Post Rock/Math rock,United Kingdom
FALENA,8814,Rock Progressivo Italiano,Italy
FALL OF EFRAFA,4760,Experimental/Post Metal,United Kingdom
"FALL OF TROY, THE",3482,Heavy Prog,United States
FALLING EDGE,7972,Symphonic Prog,Canada
FALLING INTO BIRDS,11222,RIO/Avant-Prog,United States
FALLOCH,7250,Experimental/Post Metal,United Kingdom
FALLS OF RAUROS,7139,Experimental/Post Metal,United States
FALLUJAH,9030,Tech/Extreme Prog Metal,United States
FALSE CODA,9254,Progressive Metal,Greece
"FALSINI, FRANCO",2662,Progressive Electronic,Italy
FALSOS CONEJOS,6036,Psychedelic/Space Rock,Argentina
FALSTAFF,10105,Crossover Prog,France
"FAMIGLIA DEGLI ORTEGA, LA",2166,Prog Folk,Italy
FAMILHA ARTÚS,6576,RIO/Avant-Prog,France
FAMILY,2207,Eclectic Prog,United Kingdom
FANATISM,12015,Psychedelic/Space Rock,Sweden
FANCYFLUID,1356,Neo-Prog,Italy
FANG CHIA,9016,Jazz Rock/Fusion,United States
FANGER & SCHÖNWÄLDER,9008,Progressive Electronic,Germany
FANTASIA,5846,Eclectic Prog,Finland
FANTASIA CROMATICA,3665,Jazz Rock/Fusion,Argentina
FANTASMAGORIA,5506,Heavy Prog,Japan
FANTASY,4315,Psychedelic/Space Rock,United States
FANTASY,826,Symphonic Prog,United Kingdom
FANTÔMAS,1499,RIO/Avant-Prog,United States
FAR AWAY,11672,Experimental/Post Metal,France
FAR CORNER,1482,RIO/Avant-Prog,United States
"FAR CRY, THE",11883,Neo-Prog,United States
FAR EAST FAMILY BAND,721,Psychedelic/Space Rock,Japan
FAR FROM REALITY,9565,Progressive Metal,Canada
FAR FROM YOUR SUN,12330,Neo-Prog,France
"FAR MEADOW, THE",7682,Neo-Prog,United Kingdom
FAR OUT,874,Psychedelic/Space Rock,Japan
"FAR SIDE, THE",8778,Heavy Prog,Italy
FARAQUET,8939,Post Rock/Math rock,United States
FARAWAY FOLK,4526,Prog Folk,United Kingdom
FARBFELDE,9760,Progressive Electronic,United States
FAREWELL POETRY,8154,Post Rock/Math rock,France
FARFLUNG,4434,Psychedelic/Space Rock,United States
"FARINELLA, ALESSANDRO",7935,Crossover Prog,Italy
FARMAKON,2611,Tech/Extreme Prog Metal,Finland
FARMERS MARKET,7434,Jazz Rock/Fusion,Norway
FARMHOUSE ODYSSEY,9468,Symphonic Prog,United States
FAROUT,11557,Jazz Rock/Fusion,Finland
FARPOINT,1455,Prog Folk,United States
"FARREN, MICK",2509,Psychedelic/Space Rock,United Kingdom
